Name	Variable	Namespace	Filename
"""decapPk"""	decapPkSignal	EtherEncap::	linklayer/ethernet/EtherEncap.cc
"""decapPk"""	decapPkSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""delay"""	delaySignal	Delayer::	common/queue/Delayer.cc
"""delay"""	delaySignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""dequeuePk"""	dequeuePkSignal	PassiveQueueBase::	common/queue/PassiveQueueBase.cc
"""dropConfirm"""	dropConfirmSignal	Ieee80211AgentSTA::	linklayer/ieee80211/mgmt/Ieee80211AgentSTA.cc
"""dropPk"""	dropPkSignal	UDPBasicBurst::	applications/udpapp/UDPBasicBurst.cc
"""dropPk"""	dropPkSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""droppedPkBadChecksum"""	droppedPkBadChecksumSignal	UDP::	transportlayer/udp/UDP.cc
"""droppedPkUnknownDSAP"""	droppedPkUnknownDSAPSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""droppedPkWrongPort"""	droppedPkWrongPortSignal	UDP::	transportlayer/udp/UDP.cc
"""dsap"""	dsapSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""duplPk"""	duplPkSignal	OrdinalBasedDuplicator::	common/queue/OrdinalBasedDuplicator.cc
"""echoedPk"""	echoedPkSignal	SCTPClient::	applications/sctpapp/SCTPClient.cc
"""echoedPk"""	echoedPkSignal	SCTPPeer::	applications/sctpapp/SCTPPeer.cc
"""encapPk"""	encapPkSignal	EtherEncap::	linklayer/ethernet/EtherEncap.cc
"""encapPk"""	encapPkSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""enqueuePk"""	enqueuePkSignal	PassiveQueueBase::	common/queue/PassiveQueueBase.cc
"""failedARPResolution"""	failedARPResolutionSignal	IARP::	networklayer/contract/IARP.cc
"""initiatedARPResolution"""	initiatedARPResolutionSignal	IARP::	networklayer/contract/IARP.cc
"""linkBreak"""	linkBreakSignal		common/Simsignals.cc
"""listeningChanged"""	listeningChangedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
