cwnd:vector SingleTcpSender.A.tcp.conn-6 (#0 - General-0-20260326-14:42:18-78004),
7.704779858213,9074
7.706509858213,9175
7.709839858213,9275
7.715199858213,9374
7.723099858213,9472
7.733169858213,9569
7.734819858213,9665
7.737949858213,9760
7.742949858213,9854
7.749349858213,9947
7.759419858213,10039
7.761009858213,10130
7.763969858213,10220
7.768669858213,10310
7.775399858213,10399
7.785469858213,10487
7.786999858213,10574
7.789829858213,10661
7.793359858213,10747
7.836163058213,10832
7.837653058213,10917
7.840393058213,11001
7.844723058213,11084
7.851073058213,11167
7.859953058213,11249
7.870023058213,11330
7.871463058213,11411
7.874073058213,11491
7.878153058213,11571
7.884093058213,11650
7.891423058213,11729
7.901493058213,11807
7.902883058213,11885
7.905383058213,11962
7.909243058213,12039
7.914843058213,12115
7.922463058213,12191
7.932533058213,12266
7.933883058213,12341
7.936283058213,12415
7.939983058213,12489
7.944373058213,12562
7.967546258213,12635
7.968866258213,12707
7.971206258213,12779
7.974786258213,12851
7.979946258213,12922
7.987126258213,12993
7.996826258213,13063
8.006896258213,13133
8.008176258213,13203
8.010426258213,13272
8.013836258213,13341
8.018716258213,13410
8.025446258213,13478
8.033566258213,13546
8.043636258213,13614
8.044886258213,13681
8.047056258213,13748
8.050326258213,13815
8.054956258213,13881
8.061316258213,13947
8.069696258213,14013
8.079766258213,14078
8.080986258213,14143
8.083086258213,14208
8.086226258213,14272
8.090666258213,14336
8.095786258213,14400
8.105856258213,14464
8.107056258213,14527
8.109096258213,14590
8.112156258213,14653
8.116456258213,14715
8.122326258213,14777
8.130216258213,14839
8.140286258213,14901
8.141086258213,14962
8.151156258213,15023
8.152326258213,15084
8.154306258213,15145
8.157246258213,15205
8.161346258213,15265
8.187626258213,10512
8.188776258213,11472
8.190696258213,12432
8.193536258213,13392
8.197476258213,14352
8.202766258213,15312
8.209786258213,16272
8.218826258213,17232
8.228896258213,18192
8.230016258213,19152
8.231886258213,20112
8.234636258213,21072
8.238416258213,22032
8.243496258213,22992
8.253566258213,23952
8.256236258213,24912
8.259926258213,25872
8.264846258213,26832
8.271336258213,27792
8.279846258213,28752
8.289916258213,29712
8.291006258213,30672
8.292416258213,31632
8.302486258213,32592
8.303566258213,33552
8.305346258213,34512
8.310046258213,35472
8.320116258213,7632
8.351239458213,6696
8.361309458213,7656
8.371379458213,8616
8.381449458213,9576
8.391519458213,10536
8.401589458213,11496
8.411659458213,12456
8.421729458213,13416
8.431799458213,14376
8.441869458213,15336
8.451939458213,16296
8.462009458213,17256
8.472079458213,18216
8.482149458213,19176
8.492219458213,20136
8.502289458213,3816
9.502289458213,960
9.633672658213,1920
9.765055858213,2400
9.896439058213,2784
